customerID,ActualChurn,ChurnLabel,PredictedProb,RiskSegment,tenure_group,tenure,MonthlyCharges,TotalCharges,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No,gender_Female,gender_Male,SeniorCitizen,Partner,Dependents
6467-CHFZW,0,No,0.21234986,Low,24-48,47,99.35,4749.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
8665-UTDHZ,0,No,0.0066821193,Low,0-12,1,30.2,30.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1
5248-YGIJN,0,No,0.04615411,Low,48-72,72,90.25,6369.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
8773-HHUOZ,1,Yes,0.17321391,Low,12-24,17,64.7,1093.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1
3841-NFECX,0,No,0.041062508,Low,48-72,71,96.35,6766.95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0
4929-XIHVW,1,Yes,0.9513206,Critical,0-12,2,95.5,181.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0
6827-IEAUQ,0,No,0.6277439,High,24-48,27,66.15,1874.45,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
7310-EGVHZ,0,No,0.0046074484,Low,0-12,1,20.2,20.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
3413-BMNZE,1,Yes,0.71839696,High,0-12,1,45.25,45.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0
6234-RAAPL,0,No,0.5269357,High,48-72,72,99.9,7251.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1
6047-YHPVI,0,No,0.05788889,Low,0-12,5,69.7,316.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
6572-ADKRS,0,No,0.0010270537,Low,24-48,46,74.8,3548.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
5380-WJKOV,1,Yes,0.19017774,Low,24-48,34,106.35,3549.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
8168-UQWWF,0,No,0.2897919,Medium,0-12,11,97.85,1105.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
8865-TNMNX,0,No,0.020349903,Low,0-12,10,49.55,475.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,1
9489-DEDVP,0,No,0.0047897226,Low,48-72,70,69.2,4872.35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
9867-JCZSP,0,No,0.19588928,Low,12-24,17,20.75,418.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1
4671-VJLCL,0,No,0.03304586,Low,48-72,63,79.85,4861.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
4080-IIARD,0,No,0.036894154,Low,12-24,13,76.2,981.45,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0
3714-NTNFO,0,No,0.18148176,Low,48-72,49,84.5,3906.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
5948-UJZLF,0,No,0.04774838,Low,0-12,2,49.25,97.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
7760-OYPDY,0,No,0.030774903,Low,0-12,2,80.65,144.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
7639-LIAYI,0,No,0.0043455022,Low,48-72,52,79.75,4217.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
2954-PIBKO,0,No,0.06438363,Low,48-72,69,64.15,4254.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1
8012-SOUDQ,0,No,0.5207483,High,24-48,43,90.25,3838.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
9420-LOJKX,0,No,0.0222306,Low,12-24,15,99.1,1426.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0
6575-SUVOI,0,No,0.39735028,Medium,24-48,25,69.5,1752.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,0
7495-OOKFY,1,Yes,0.7785324,Critical,0-12,8,80.65,633.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,0
4667-QONEA,0,No,0.009541524,Low,48-72,60,74.85,4456.35,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1
1658-BYGOY,0,No,0.006995917,Low,12-24,18,95.45,1752.55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0
8769-KKTPH,0,No,0.2851336,Medium,48-72,63,99.65,6311.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1
5067-XJQFU,0,No,0.4017335,Medium,48-72,66,108.45,7076.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1
3957-SQXML,0,No,0.009942331,Low,24-48,34,24.95,894.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1
5954-BDFSG,1,Yes,0.601076,High,48-72,72,107.5,7853.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
0434-CSFON,0,No,0.02433605,Low,24-48,47,100.5,4707.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
1215-FIGMP,0,No,0.11332176,Low,48-72,60,89.9,5450.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
0526-SXDJP,0,No,0.7398096,High,48-72,72,42.1,2962.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0
0557-ASKVU,0,No,0.013490189,Low,12-24,18,54.4,957.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1
5698-BQJOH,0,No,0.009130515,Low,0-12,9,94.4,857.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
5122-CYFXA,0,No,0.045855746,Low,0-12,3,75.3,244.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
8627-ZYGSZ,0,No,0.090119794,Low,24-48,47,78.9,3650.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0
3410-YOQBQ,0,No,0.022158574,Low,24-48,31,79.2,2497.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0
3170-NMYVV,0,No,0.0007449903,Low,48-72,50,20.15,930.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1
7410-OIEDU,0,No,0.09272454,Low,0-12,10,79.85,887.35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0
2273-QCKXA,0,No,0.000891771,Low,0-12,1,49.05,49.05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
0731-EBJQB,1,Yes,0.87735325,Critical,48-72,52,20.4,1090.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,1
1891-QRQSA,0,No,0.004876767,Low,48-72,64,111.6,7099.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1
8028-PNXHQ,1,Yes,0.35323247,Medium,48-72,62,24.25,1424.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,1
5630-AHZIL,0,No,0.003305415,Low,0-12,3,64.5,177.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,1
2673-CXQEU,1,Yes,0.38802856,Medium,48-72,56,110.5,6139.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0
6416-JNVRK,0,No,0.668051,High,24-48,46,55.65,2688.85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
5590-ZSKRV,0,No,0.026623031,Low,0-12,8,54.65,482.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1
0191-ZHSKZ,0,No,0.007724982,Low,24-48,30,74.75,2111.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0
3887-PBQAO,0,No,0.16752063,Low,24-48,45,25.9,1216.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1
5919-TMRGD,0,No,0.0016321844,Low,0-12,1,79.35,79.35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,1
8108-UXRQN,0,No,0.026046528,Low,0-12,11,50.55,565.35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
9191-MYQKX,0,No,0.018331243,Low,0-12,7,75.15,496.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
9919-YLNNG,1,Yes,0.5832677,High,24-48,42,103.8,4327.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
0318-ZOPWS,0,No,0.03465192,Low,48-72,49,20.15,973.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0
4445-ZJNMU,0,No,0.0018163224,Low,0-12,9,99.3,918.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0
4808-YNLEU,0,No,0.5013568,High,24-48,35,62.15,2215.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0
1862-QRWPE,1,Yes,0.111309014,Low,24-48,48,20.65,1057.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1
2796-NNUFI,0,No,0.85486645,Critical,24-48,46,19.95,927.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
3016-KSVCP,0,No,0.28900132,Medium,24-48,29,33.75,1009.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0
4767-HZZHQ,0,No,0.039119,Low,24-48,30,82.05,2570.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1
2424-WVHPL,1,Yes,0.7694492,Critical,0-12,1,74.7,74.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0
7233-PAHHL,0,No,0.0051591457,Low,48-72,66,84.0,5714.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
6067-NGCEU,0,No,0.18919428,Low,48-72,65,111.05,7107.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
9848-JQJTX,0,No,0.006568483,Low,48-72,72,100.9,7459.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
8637-XJIVR,0,No,0.031251952,Low,0-12,12,78.95,927.35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
9803-FTJCG,0,No,0.0014446588,Low,48-72,71,66.85,4748.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1
0278-YXOOG,0,No,0.28371271,Medium,0-12,5,21.05,113.85,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
3212-KXOCR,0,No,0.19790022,Low,48-72,52,21.0,1107.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
4598-XLKNJ,0,No,0.012953231,Low,24-48,25,98.5,2514.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0
6380-ARCEH,0,No,0.4821751,Medium,0-12,1,20.2,20.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0
3679-XASPY,0,No,0.30084708,Medium,0-12,1,19.45,19.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1
7123-WQUHX,0,No,0.31519136,Medium,24-48,38,95.0,3605.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
5386-THSLQ,0,No,0.3977727,Medium,48-72,66,45.55,3027.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0
3192-NQECA,1,Yes,0.013198026,Low,48-72,68,110.0,7611.85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0
6180-YBIQI,0,No,0.62430686,High,0-12,5,24.3,100.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0
6728-DKUCO,1,Yes,0.2855232,Medium,48-72,72,104.15,7303.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,1
9750-BOOHV,0,No,0.8377609,Critical,24-48,32,30.15,927.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0
8597-CWYHH,0,No,0.7195879,High,24-48,43,94.35,3921.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
2848-YXSMW,1,Yes,0.55735314,High,48-72,72,19.4,1363.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
0486-HECZI,0,No,0.6108212,High,48-72,55,96.75,5238.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
4549-ZDQYY,0,No,0.1981313,Low,48-72,52,57.95,3042.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
5712-AHQNN,0,No,0.00172857,Low,24-48,43,91.65,3954.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
4846-WHAFZ,0,No,0.0068004713,Low,24-48,37,76.5,2868.15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0
5256-SKJGO,0,No,0.008298176,Low,48-72,64,54.6,3423.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1
3071-VBYPO,1,Yes,0.8151225,Critical,0-12,3,89.85,248.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1
9560-BBZXK,0,No,0.1170059,Low,24-48,36,31.05,1126.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
5299-RULOA,0,No,0.000641539,Low,0-12,10,100.25,1064.65,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1
8402-OOOHJ,0,No,0.020277658,Low,24-48,41,20.65,835.15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
9445-ZUEQE,1,Yes,0.6185333,High,24-48,27,85.2,2151.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
1091-SOZGA,0,No,0.023426875,Low,48-72,56,99.8,5515.45,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1
2928-HLDBA,0,No,0.0047439206,Low,0-12,6,20.7,112.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0
0404-SWRVG,0,No,0.03996548,Low,0-12,3,74.4,229.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
6497-TILVL,1,Yes,0.05479468,Low,0-12,7,50.7,350.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,1
7219-TLZHO,1,Yes,0.6524104,High,0-12,4,20.85,62.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
4622-YNKIJ,0,No,0.22885823,Low,24-48,33,88.95,3027.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
4412-YLTKF,1,Yes,0.8367496,Critical,24-48,27,78.05,2135.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0
6734-PSBAW,0,No,0.0023813637,Low,48-72,72,23.55,1723.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
3930-ZGWVE,0,No,0.0013449371,Low,0-12,1,19.75,19.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
2639-UGMAZ,0,No,0.081970885,Low,48-72,71,56.45,3985.35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
2876-GZYZC,0,No,0.0040173084,Low,12-24,13,85.95,1215.65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0
6207-WIOLX,1,Yes,0.673399,High,24-48,25,58.6,1502.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1
8587-XYZSF,0,No,0.0010502022,Low,48-72,67,50.55,3260.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
3091-FYHKI,1,Yes,0.6695356,High,0-12,1,35.45,35.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
2372-HWUHI,0,No,0.0024889424,Low,0-12,2,44.35,81.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
7799-LGRDP,0,No,0.006239908,Low,24-48,43,25.7,1188.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0
7850-VWJUU,1,Yes,0.9375144,Critical,12-24,23,75.0,1778.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
3774-VBNXY,0,No,0.8013515,Critical,48-72,64,20.2,1277.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
6217-KDYWC,0,No,0.19956075,Low,48-72,57,19.6,1170.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1
0390-DCFDQ,0,No,0.021011245,Low,0-12,1,70.45,70.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0
3146-MSEGF,0,No,0.001301672,Low,48-72,72,88.05,6425.65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
4080-OGPJL,0,No,0.011915319,Low,0-12,8,71.15,563.65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
1095-WGNGG,0,No,0.49918595,Medium,48-72,61,101.05,5971.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,0
2636-SJDOU,0,No,0.008780504,Low,48-72,64,84.3,5289.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
1131-QQZEB,1,Yes,0.19167735,Low,48-72,71,23.95,1756.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0
5716-EZXZN,0,No,0.7272829,High,48-72,65,99.05,6416.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
6837-BJYDQ,0,No,0.012257394,Low,0-12,3,19.6,61.35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
2135-RXIHG,0,No,0.90682566,Critical,0-12,1,45.65,45.65,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0
