customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,original_index
3714-NTNFO,Female,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,48-72,45
5948-UJZLF,Male,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,0-12,46
7760-OYPDY,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,0-12,47
7639-LIAYI,Male,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,48-72,48
2954-PIBKO,Female,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,48-72,49
8012-SOUDQ,Female,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,24-48,50
9420-LOJKX,Female,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,12-24,51
6575-SUVOI,Female,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,24-48,52
7495-OOKFY,Female,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0-12,53
4667-QONEA,Female,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,48-72,54
1658-BYGOY,Male,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,12-24,55
8769-KKTPH,Female,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,48-72,56
5067-XJQFU,Male,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,48-72,57
3957-SQXML,Female,0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,24-48,58
5954-BDFSG,Female,0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,48-72,59
0434-CSFON,Female,0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,24-48,60
1215-FIGMP,Male,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,48-72,61
0526-SXDJP,Male,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,48-72,62
0557-ASKVU,Female,0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,12-24,63
5698-BQJOH,Female,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,0-12,64
5122-CYFXA,Female,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,0-12,65
8627-ZYGSZ,Male,0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,24-48,66
3410-YOQBQ,Female,0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,24-48,67
3170-NMYVV,Female,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,48-72,68
7410-OIEDU,Male,0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,0-12,69
2273-QCKXA,Male,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,0-12,70
0731-EBJQB,Female,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,48-72,71
1891-QRQSA,Male,1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,48-72,72
8028-PNXHQ,Male,0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,48-72,73
5630-AHZIL,Female,0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0-12,74
2673-CXQEU,Female,1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,48-72,75
6416-JNVRK,Female,0,0,0,46,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0,24-48,76
5590-ZSKRV,Female,0,1,1,8,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0,0-12,77
0191-ZHSKZ,Male,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0,24-48,78
3887-PBQAO,Female,0,1,1,45,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0,24-48,79
5919-TMRGD,Female,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,0-12,80
8108-UXRQN,Female,0,1,1,11,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0,0-12,81
9191-MYQKX,Female,0,1,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0-12,82
9919-YLNNG,Female,0,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,24-48,83
0318-ZOPWS,Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0,48-72,84
4445-ZJNMU,Male,0,0,0,9,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0-12,85
4808-YNLEU,Female,0,1,0,35,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0,24-48,86
1862-QRWPE,Female,0,1,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0,24-48,87
2796-NNUFI,Female,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0,24-48,88
3016-KSVCP,Male,0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0,24-48,89
4767-HZZHQ,Male,0,1,1,30,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,24-48,90
2424-WVHPL,Male,1,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0,0-12,91
7233-PAHHL,Male,0,1,1,66,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0,48-72,92
6067-NGCEU,Female,0,0,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,48-72,93
9848-JQJTX,Male,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0,48-72,94
8637-XJIVR,Female,0,0,0,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,0-12,95
9803-FTJCG,Male,0,1,1,71,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,4748.7,0,48-72,96
0278-YXOOG,Male,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,0-12,97
3212-KXOCR,Male,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0,48-72,98
4598-XLKNJ,Female,1,1,0,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,24-48,99
6380-ARCEH,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0,0-12,100
3679-XASPY,Female,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,19.45,0,0-12,101
7123-WQUHX,Male,0,0,0,38,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),95.0,3605.6,0,24-48,102
5386-THSLQ,Female,1,1,0,66,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,3027.25,0,48-72,103
3192-NQECA,Male,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1,48-72,104
6180-YBIQI,Male,0,0,0,5,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.3,100.2,0,0-12,105
6728-DKUCO,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,104.15,7303.05,0,48-72,106
9750-BOOHV,Female,0,0,0,32,0,No phone service,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,927.65,0,24-48,107
8597-CWYHH,Male,0,0,0,43,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,3921.3,0,24-48,108
2848-YXSMW,Male,0,1,1,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,0,48-72,109
0486-HECZI,Male,0,1,0,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1,48-72,110
4549-ZDQYY,Female,0,0,0,52,1,No,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),57.95,3042.25,0,48-72,111
5712-AHQNN,Female,0,0,0,43,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.65,3954.1,0,24-48,112
4846-WHAFZ,Female,1,1,0,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1,24-48,113
5256-SKJGO,Female,0,1,1,64,0,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,3423.5,0,48-72,114
3071-VBYPO,Male,0,1,1,3,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,89.85,248.4,0,0-12,115
9560-BBZXK,Female,0,0,0,36,0,No phone service,DSL,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),31.05,1126.35,0,24-48,116
5299-RULOA,Female,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1,0-12,117
8402-OOOHJ,Female,0,0,0,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,835.15,0,24-48,118
9445-ZUEQE,Male,0,1,1,27,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,24-48,119
1091-SOZGA,Female,0,1,1,56,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),99.8,5515.45,0,48-72,120
2928-HLDBA,Female,0,0,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,0,0-12,121
0404-SWRVG,Male,0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1,0-12,122
6497-TILVL,Female,0,1,1,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.7,350.35,0,0-12,123
7219-TLZHO,Female,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9,0,0-12,124
4622-YNKIJ,Male,0,0,0,33,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65,0,24-48,125
4412-YLTKF,Female,1,0,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1,24-48,126
6734-PSBAW,Male,0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),23.55,1723.95,0,48-72,127
3930-ZGWVE,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75,0,0-12,128
2639-UGMAZ,Male,1,0,0,71,0,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,56.45,3985.35,0,48-72,129
2876-GZYZC,Female,0,0,0,13,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,1215.65,0,12-24,130
6207-WIOLX,Female,0,1,1,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,24-48,131
8587-XYZSF,Male,0,0,0,67,1,No,DSL,No,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),50.55,3260.1,0,48-72,132
3091-FYHKI,Male,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,1,0-12,133
2372-HWUHI,Male,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,1,0-12,134
7799-LGRDP,Female,0,0,0,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.7,1188.2,0,24-48,135
7850-VWJUU,Female,0,0,0,23,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,12-24,136
3774-VBNXY,Female,0,1,1,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.2,1277.75,0,48-72,137
6217-KDYWC,Male,0,0,1,57,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.6,1170.55,0,48-72,138
0390-DCFDQ,Female,1,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,70.45,1,0-12,139
3146-MSEGF,Female,1,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),88.05,6425.65,0,48-72,140
4080-OGPJL,Female,0,0,0,8,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65,1,0-12,141
1095-WGNGG,Female,0,1,0,61,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),101.05,5971.25,0,48-72,142
2636-SJDOU,Male,0,0,0,64,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),84.3,5289.05,0,48-72,143
1131-QQZEB,Male,1,1,0,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.95,1756.2,0,48-72,144
5716-EZXZN,Female,0,1,1,65,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Credit card (automatic),99.05,6416.7,0,48-72,145
6837-BJYDQ,Male,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.6,61.35,0,0-12,146
2135-RXIHG,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65,1,0-12,147
6440-DKQGE,Male,0,0,1,30,1,No,DSL,No,Yes,Yes,No,Yes,No,One year,0,Credit card (automatic),64.5,1929.95,0,24-48,148
3466-BYAVD,Male,0,1,1,15,1,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,69.5,1071.4,0,12-24,149
3780-YVMFA,Female,0,1,1,8,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,68.55,564.35,0,0-12,150
3874-EQOEP,Male,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,655.5,1,0-12,151
1679-JRFBR,Female,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),108.15,7930.55,0,48-72,152
9073-ZZIAY,Male,0,1,1,62,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,86.1,5215.25,0,48-72,153
3077-RSNTJ,Female,0,1,1,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,113.5,0,0-12,154
6551-GNYDG,Female,0,1,1,14,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),80.9,1152.8,0,12-24,155
9167-APMXZ,Female,0,0,0,22,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),84.15,1821.95,0,12-24,156
2749-CTKAJ,Male,0,1,1,22,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.15,419.9,0,12-24,157
6371-NZYEG,Male,0,1,1,16,1,No,DSL,Yes,No,Yes,No,Yes,No,Two year,0,Mailed check,64.25,1024.0,0,12-24,158
7554-NEWDD,Male,0,0,0,10,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.7,251.6,0,0-12,159
8992-VONJD,Female,0,0,1,13,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,56.0,764.55,0,12-24,160
0867-MKZVY,Female,0,1,0,20,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1592.35,1,12-24,161
4482-EWFMI,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,135.2,0,0-12,162
4648-YPBTM,Male,0,0,0,53,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),73.9,3958.25,0,48-72,163
2907-ILJBN,Female,0,1,1,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.6,233.9,0,0-12,164
6345-FZOQH,Male,0,1,0,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,1363.45,0,48-72,165
3376-BMGFE,Female,0,0,0,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1,0-12,166
